company,org,model_id,downloads,likes,pipeline_tag,library_name,created_at,tags
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Qwen3.8-27B-Quark-AWQ-MXFP4,8272,15,image-text-to-text,transformers,2026-08-15T03:11:24.000Z,transformers; safetensors; qwen3_5; image-text-to-text; quark; quantized; mxfp4; awq; conversational; base_model:Qwen/Qwen3.8-27B; base_model:quantized:Qwen/Qwen3.8-27B; license:apache-2.0; endpoints_compatible; 8-bit; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Instella-MoE-16B-A3B-Think,2301,175,text-generation,transformers,2026-07-23T20:36:33.000Z,transformers; safetensors; deepseek_v3; text-generation; instella; moe; amd; rocm; conversational; custom_code; en; arxiv:2609.00791; license:other; text-generation-inference; endpoints_compatible; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Qwen-2.5_1.5B_Instruct-onnx-ryzenai-npu,69,1,text-generation,,2025-09-28T20:59:50.000Z,onnx; ryzenai-npu; text-generation; conversational; en; base_model:Qwen/Qwen2.5-1.5B-Instruct; base_model:quantized:Qwen/Qwen2.5-1.5B-Instruct; license:mit; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Qwen3-Coder-Next-MXFP4,164,7,,,2026-02-02T10:19:54.000Z,safetensors; qwen3_next; base_model:Qwen/Qwen3-Coder-Next; base_model:quantized:Qwen/Qwen3-Coder-Next; license:apache-2.0; 8-bit; quark; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/FLUX.2-klein-4B-amdnpu,0,3,text-to-image,,2026-05-21T03:04:34.000Z,onnx; safetensors; flux; text-to-image; image-to-image; RyzenAI; Quantization; ONNX; Computer Vision; en; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Qwen3.6-35B-A3B-w4a16-llmcompressor,375,1,text-generation,transformers,2026-08-13T12:22:33.000Z,transformers; safetensors; qwen3_5_moe; image-text-to-text; quantized; int4; w4a16; weight-only; 4-bit; llm-compressor; zendnn; compressed-tensors; amd; cpu-inference; text-generation; conversational; en; base_model:Qwen/Qwen3.6-35B-A3B; base_model:quantized:Qwen/Qwen3.6-35B-A3B; license:apache-2.0; endpoints_compatible; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Qwen3.8-27B-Quark-AWQ-INT4-W4A16,102141,15,image-text-to-text,transformers,2026-08-15T02:11:56.000Z,transformers; safetensors; qwen3_5; image-text-to-text; quark; amd; quantization; int4; awq; w4a16; conversational; base_model:Qwen/Qwen3.8-27B; base_model:quantized:Qwen/Qwen3.8-27B; license:apache-2.0; endpoints_compatible; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/gemma-4-12B-it-w4a16-llmcompressor-v0.12.0,1880,1,text-generation,transformers,2026-08-21T10:44:03.000Z,transformers; safetensors; gemma4_unified; image-text-to-text; quantized; int4; w4a16; weight-only; 4-bit; llm-compressor; zendnn; compressed-tensors; amd; cpu-inference; text-generation; conversational; en; base_model:RedHatAI/gemma-4-12B-it; base_model:quantized:RedHatAI/gemma-4-12B-it; license:gemma; endpoints_compatible; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/yolov8m,0,6,object-detection,,2023-12-04T07:38:27.000Z,onnx; RyzenAI; object-detection; vision; YOLO; Pytorch; dataset:COCO; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/yolov5s,0,3,object-detection,,2023-12-04T08:25:34.000Z,onnx; RyzenAI; object-detection; vision; YOLO; Pytorch; dataset:COCO; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/yolov3,0,2,object-detection,,2023-12-04T08:26:13.000Z,onnx; RyzenAI; object-detection; vision; YOLO; Pytorch; en; dataset:COCO; arxiv:1804.02767; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/yolox-s,0,2,object-detection,,2023-12-04T08:26:31.000Z,onnx; RyzenAI; object-detection; vision; YOLO; anchor-free; pytorch; dataset:coco; arxiv:2107.08430; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/mnasnet_b1,0,1,,timm,2023-12-04T08:55:00.000Z,timm; onnx; RyzenAI; vision; classification; pytorch; dataset:imagenet-1k; arxiv:1807.11626; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/efficientnet-es,0,0,image-classification,,2023-12-04T09:02:55.000Z,onnx; RyzenAI; image-classification; dataset:imagenet-1k; arxiv:1905.11946; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/squeezenet,0,0,,,2023-12-04T09:05:48.000Z,onnx; RyzenAI; vision; classification; pytorch; dataset:imagenet-1k; arxiv:1602.07360; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/ese_vovnet39b,0,0,,,2023-12-04T09:17:27.000Z,onnx; RyzenAI; vision; classification; pytorch; dataset:imagenet-1k; arxiv:1904.09730; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/resnet50,17,0,image-classification,transformers,2023-12-04T09:23:41.000Z,transformers; onnx; resnet; image-classification; RyzenAI; vision; classification; pytorch; dataset:imagenet-1k; arxiv:1512.03385; license:apache-2.0; endpoints_compatible; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/mobilenet_v2_1.0_224,0,0,image-classification,,2023-12-04T09:28:36.000Z,onnx; RyzenAI; image-classification; dataset:imagenet-1k; arxiv:1801.04381; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/movenet,0,4,,,2023-12-04T09:39:35.000Z,onnx; RyzenAI; pose estimation; en; dataset:detection-datasets/coco; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/HRNet,0,3,image-segmentation,,2023-12-04T09:43:26.000Z,onnx; Image Segmentation; Semantic Segmentation; Computer Vision; Cityscapes; HRNet; ONNX; Int8 quantization; RyzenAI; image-segmentation; en; dataset:Chris1/cityscapes; arxiv:1909.11065; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/SemanticFPN,0,1,,,2023-12-04T16:30:08.000Z,onnx; RyzenAI; Image Segmentation; Pytorch; Vision; en; dataset:cityscape; arxiv:1901.02446; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/sesr,0,4,,,2023-12-04T16:30:22.000Z,onnx; RyzenAI; super resolution; SISR; pytorch; en; dataset:eugenesiow/Div2k; dataset:eugenesiow/Set5; arxiv:2103.09404; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/PAN,0,2,image-to-image,,2023-12-04T16:30:34.000Z,onnx; RyzenAI; PAN; Pytorch; Super Resolution; Vision; image-to-image; en; dataset:Set5; dataset:Div2K; arxiv:2010.01073; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/rcan,0,2,,,2023-12-04T16:30:53.000Z,onnx; RyzenAI; Super Resolution; Pytorch; Vision; SISR; en; dataset:Set5; dataset:Div2k; arxiv:1807.02758; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/inception_v4,0,0,,,2023-12-05T13:01:15.000Z,onnx; RyzenAI; vision; classification; pytorch; dataset:imagenet-1k; arxiv:1602.07261; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/retinaface,0,16,,,2023-12-05T13:08:35.000Z,onnx; RyzenAI; Object Detection; Computer Vision; Face; WiderFace; MobileNet; RetinaNet; ONNX; dataset:wider_face; arxiv:1905.00641; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Meta-Llama-3-8B_fp8_quark,16,0,text-generation,transformers,2024-07-11T15:32:58.000Z,transformers; safetensors; llama; text-generation; text-generation-inference; endpoints_compatible; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/AMD-Llama-135m,12450,120,text-generation,transformers,2024-07-19T07:15:47.000Z,transformers; safetensors; llama; text-generation; dataset:cerebras/SlimPajama-627B; dataset:manu/project_gutenberg; arxiv:2204.06745; license:apache-2.0; text-generation-inference; endpoints_compatible; region:us; deploy:azure
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/AMD-Llama-135m-code,121,13,text-generation,transformers,2024-07-19T07:23:39.000Z,transformers; safetensors; llama; text-generation; dataset:cerebras/SlimPajama-627B; dataset:manu/project_gutenberg; arxiv:2204.06745; license:apache-2.0; text-generation-inference; endpoints_compatible; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Meta-Llama-3.1-405B-Instruct-fp8-quark-vllm,0,2,,,2024-08-13T04:52:01.000Z,license:llama3.1; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Meta-Llama-3.1-8B-Instruct-fp8-quark-vllm,0,1,,,2024-08-13T09:07:10.000Z,license:llama3.1; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Meta-Llama-3.1-70B-Instruct-fp8-quark-vllm,0,1,,,2024-08-13T09:26:23.000Z,license:llama3.1; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Meta-Llama-3-70B-Instruct-fp8-quark-vllm,0,0,,,2024-09-05T08:29:03.000Z,region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Llama-3.1-8B-Instruct-FP8-KV,8065,6,,,2024-09-09T07:12:55.000Z,safetensors; llama; vllm_ci; base_model:meta-llama/Llama-3.1-8B-Instruct; base_model:quantized:meta-llama/Llama-3.1-8B-Instruct; license:other; fp8; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Llama-3.1-70B-Instruct-FP8-KV,2870,5,,,2024-09-09T08:41:12.000Z,safetensors; llama; base_model:meta-llama/Llama-3.1-70B-Instruct; base_model:quantized:meta-llama/Llama-3.1-70B-Instruct; license:other; fp8; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Llama-3.1-405B-Instruct-FP8-KV,2774,5,,,2024-09-09T23:51:20.000Z,safetensors; llama; base_model:meta-llama/Llama-3.1-405B-Instruct; base_model:quantized:meta-llama/Llama-3.1-405B-Instruct; license:other; fp8; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Mixtral-8x7B-Instruct-v0.1-FP8-KV,3199,3,,,2024-09-10T09:03:17.000Z,safetensors; mixtral; vllm_ci; base_model:mistralai/Mixtral-8x7B-Instruct-v0.1; base_model:quantized:mistralai/Mixtral-8x7B-Instruct-v0.1; license:apache-2.0; fp8; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Mixtral-8x22B-Instruct-v0.1-FP8-KV,1975,3,,,2024-09-10T12:15:52.000Z,safetensors; mixtral; base_model:mistralai/Mixtral-8x22B-Instruct-v0.1; base_model:quantized:mistralai/Mixtral-8x22B-Instruct-v0.1; license:apache-2.0; fp8; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/c4ai-command-r-plus-FP8-KV,22,0,,,2024-09-11T10:23:19.000Z,safetensors; cohere; base_model:CohereLabs/c4ai-command-r-plus; base_model:quantized:CohereLabs/c4ai-command-r-plus; license:cc-by-nc-4.0; fp8; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/deepseek-moe-16b-chat-FP8-KV,23,0,,,2024-09-12T06:32:19.000Z,safetensors; deepseek; custom_code; base_model:deepseek-ai/deepseek-moe-16b-chat; base_model:quantized:deepseek-ai/deepseek-moe-16b-chat; license:other; fp8; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/grok-1-FP8-KV,20,1,,,2024-09-12T22:47:16.000Z,safetensors; grok-1; custom_code; base_model:hpcai-tech/grok-1; base_model:quantized:hpcai-tech/grok-1; license:apache-2.0; fp8; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/FDViT_ti,59,0,,,2024-09-24T05:14:12.000Z,pytorch; fdvit; custom_code; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/FDViT_s,56,0,,,2024-09-24T06:41:40.000Z,pytorch; fdvit; custom_code; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/FDViT_b,58,1,,,2024-09-24T06:42:50.000Z,pytorch; fdvit; custom_code; license:apache-2.0; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/dbrx-instruct-FP8-KV,41,0,,,2024-09-25T08:03:42.000Z,safetensors; dbrx; base_model:alpindale/dbrx-instruct; base_model:quantized:alpindale/dbrx-instruct; license:other; fp8; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Llama-3.2-11B-Vision-Instruct-FP8-KV,52,1,,,2024-09-26T05:41:23.000Z,safetensors; mllama; base_model:meta-llama/Llama-3.2-11B-Vision-Instruct; base_model:quantized:meta-llama/Llama-3.2-11B-Vision-Instruct; license:llama3.2; fp8; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Llama-3.2-3B-Instruct-FP8-KV,138,0,,,2024-09-26T09:24:01.000Z,safetensors; llama; base_model:meta-llama/Llama-3.2-3B-Instruct; base_model:quantized:meta-llama/Llama-3.2-3B-Instruct; license:llama3.2; fp8; region:us
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),amd,amd/Llama-3.2-3B-FP8-KV,15,0,,,2024-09-26T09:24:23.000Z,safetensors; llama; base_model:meta-llama/Llama-3.2-3B; base_model:quantized:meta-llama/Llama-3.2-3B; license:llama3.2; fp8; region:us
