file_id,company,cik,form,file_date,period_ending,location,accession
0001477932-26-002727:cctc_10ka.htm,Catalyst Crew Technologies Corp.  (CCTC)  (CIK 0001477960),0001477960,10-K/A,2026-05-04,2025-12-31,"Piso 4 Oficina 4-d, Urb Boleit",0001477932-26-002727
0001683168-26-002984:loan_i10k-123125.htm,"Loan Artificial Intelligence Corp.  (LAAI, VEST)  (CIK 0001594968)",0001594968,10-K,2026-04-15,2025-12-31,Admiralty,0001683168-26-002984
0001493152-26-027796:form10-k.htm,Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,10-K,2026-06-09,2026-02-28,"Ferndale, MI",0001493152-26-027796
0001493152-26-033600:form10-ka.htm,Artificial Intelligence Technology Solutions Inc.  (AITX)  (CIK 0001498148),0001498148,10-K/A,2026-07-17,2026-02-28,"Ferndale, MI",0001493152-26-033600
0001628280-26-020560:ihamconsolidation-fy2025ex.htm,ARES CAPITAL CORP  (ARCC)  (CIK 0001287750),0001287750,10-K/A,2026-03-23,2025-12-31,"New York, NY",0001628280-26-020560
0001683168-26-004391:kinetic_i10k-123125.htm,Kinetic Seas Inc.  (KSEZ)  (CIK 0001945619),0001945619,10-K,2026-05-29,2025-12-31,"Schaumburg, IL",0001683168-26-004391
0001193125-26-114266:ck0001784700-ex99_1.htm,Varagon Capital Corp  (CIK 0001784700),0001784700,10-K,2026-03-18,2025-12-31,"New York, NY",0001193125-26-114266
0001213900-26-034538:ea0281818-10k_linkhome.htm,Linkhome Holdings Inc.  (LHAI)  (CIK 0002017758),0002017758,10-K,2026-03-26,2025-12-31,"Irvine, CA",0001213900-26-034538
0001213900-26-059081:ea0291456-10ka1_linkhome.htm,Linkhome Holdings Inc.  (LHAI)  (CIK 0002017758),0002017758,10-K/A,2026-05-19,2025-12-31,"Irvine, CA",0001213900-26-059081
0001628280-26-025356:domo-20260131.htm,"DOMO, INC.  (DOMO)  (CIK 0001505952)",0001505952,10-K,2026-04-16,2026-01-31,"American Fork, UT",0001628280-26-025356
0001193125-26-091708:rdvt-20251231.htm,"Red Violet, Inc.  (RDVT)  (CIK 0001720116)",0001720116,10-K,2026-03-04,2025-12-31,"Boca Raton, FL",0001193125-26-091708
0001018724-26-000004:amzn-20251231.htm,AMAZON COM INC  (AMZN)  (CIK 0001018724),0001018724,10-K,2026-02-06,2025-12-31,"Seattle, WA",0001018724-26-000004
0001193125-26-237024:crvl-20260331.htm,CORVEL CORP  (CRVL)  (CIK 0000874866),0000874866,10-K,2026-05-22,2026-03-31,"Portland, OR",0001193125-26-237024
0000033185-26-000010:efx-20251231.htm,EQUIFAX INC  (EFX)  (CIK 0000033185),0000033185,10-K,2026-02-19,2025-12-31,"Atlanta, GA",0000033185-26-000010
0001096906-26-000430:fccn-20251231_10k.htm,SPECTRAL CAPITAL Corp  (FCCN)  (CIK 0001131903),0001131903,10-K,2026-03-31,2025-12-31,"Seattle, WA",0001096906-26-000430
0001104659-26-020655:inod-20251231x10k.htm,INNODATA INC  (INOD)  (CIK 0000903651),0000903651,10-K,2026-02-26,2025-12-31,"Ridgefield Park, NJ",0001104659-26-020655
0001213900-26-036897:ea0283159-10k_domin.htm,Dominari Holdings Inc.  (DOMH)  (CIK 0000012239),0000012239,10-K,2026-03-31,2025-12-31,"New York, NY",0001213900-26-036897
0001691421-26-000016:lmnd-20251231.htm,"Lemonade, Inc.  (LMND)  (CIK 0001691421)",0001691421,10-K,2026-02-25,2025-12-31,"New York, NY",0001691421-26-000016
0001193125-26-067030:saia-20251231.htm,SAIA INC  (SAIA)  (CIK 0001177702),0001177702,10-K,2026-02-24,2025-12-31,"Johns Creek, GA",0001193125-26-067030
0001628280-26-013259:semr-20251231.htm,"SEMrush Holdings, Inc.  (SEMR)  (CIK 0001831840)",0001831840,10-K,2026-03-02,2025-12-31,"Boston, MA",0001628280-26-013259
0001493152-26-011691:ex10-23.htm,Odysight.ai Inc.  (ODYS)  (CIK 0001577445),0001577445,10-K,2026-03-19,2025-12-31,"Scottsdale, AZ",0001493152-26-011691
0001213900-26-073032:ea0295808-10k_medical.htm,MEDICAL EXERCISE INC.  (CIK 0002001249),0002001249,10-K,2026-06-29,2026-03-31,"North Palm Beach, FL",0001213900-26-073032
0001477932-26-002711:nbbi_10k.htm,"BMP AI Technologies, Inc.  (BMPA)  (CIK 0001130781)",0001130781,10-K,2026-05-01,2025-12-31,Las Vegas,0001477932-26-002711
0001757073-26-000011:nvst-20251231.htm,Envista Holdings Corp  (NVST)  (CIK 0001757073),0001757073,10-K,2026-02-12,2025-12-31,"Brea, CA",0001757073-26-000011
